"action.activitystream.comment","コメントを書く"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deleteroutecommandname","ルートを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletetrustedcertcommandname","信頼証明書を削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletewebservicecommandname","Webサービス・コマンドを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletingfile","ファイル ''{0}'' を削除しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletingfilter","フィルタ ''{0}'' を削除しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletinglookuptable","ルックアップ・テーブル ''{0}'' を削除しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletingnotificationscheme","GUID ""{1}""の通知スキーム {0} を削除しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletingwebservice","Webサービス ''{0}'' を削除しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deregisteringcommandsource","コマンド・ソースの登録を解除しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.didnotmatchknownwscheckingout","チェックアウトを試みましたが、コンポーネント識別子 ''{0}'' と一致する既知Webサービスはありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.didnotmatchknownwsdeleting","削除を試みましたが、コンポーネント識別子 ''{0}'' と一致する既知Webサービスはありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.didnotmatchknownwsreleasinglock","チェックアウト・ロックのリリースを試みましたが、コンポーネント識別子 ''{0}'' と一致する既知Webサービスはありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.didnotmatchknownwsrestarting","再起動を試みましたが、コンポーネント識別子 ''{0}'' と一致するWebサービスはありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.didnotmatchknownwsretrievingconfig","設定の習得を試みましたが、コンポーネント識別子 ''{0}'' と一致するWebサービスはありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.differentnumberofcolumnsthanexpected","期待する列数 {0} です。{2} 行目に {1} 見つかりました "
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.disabled","無効にしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.doesnotsupportcommandoncustomlibs","本バージョンでは、カスタム・ライブラリに対するこのコマンドはサポートされません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.doesnotsupportcommandonmodules","本バージョンでは、モジュールに対するこのコマンドにサポートされません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.donothavelockfordefinition","定義　''{0}''　のロックを保持していません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.donothavetotalwritelock","Rhapsodyエンジンの total write lock を保持していません "
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.downloadconfigfilecommandname","設定ファイルをダウンロードします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.downloadingfile","ファイル　''{0}'' をダウンロードしています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.enabled","有効にしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.enablekeepalivescommandname","Keep Alive を有効にします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.enablingkeepalivesonadminconnection","アドミン接続 ''{0}'' の Keep Alive を有効にしています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.encodingerroraddingschemeconfig","スキーム設定を追加しようとするときに、次のエンコード・エラーが発生しました: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.encodingerrordeserialisingtrackingscheme","トラッキング・スキームをデシリアライズ中にエンコード・エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.endingadminsession","アドミン・セッションを終了しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.enginenamechanged","Rhapsodyエンジン名を ''{0}'' に変更しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.enginenotstarting","アドミン・サービスを初期化中に例外が発生したため、エンジンは起動しません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddingcryptokey","暗号キーを追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddinggroup","グループ ''{0}'' を追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddinginputcommpoint","インプット・コムポイントをルートに追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddinginputcommpointdoesnotexist","インプット・コムポイント ''{0}'' は存在しないため、ルート ''{1}'' に追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddinginputcommpointroutedoesnotexist","ルート ''{0}'' は存在しないため、インプット・コムポイントを追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddingoutputcommpoint","アウトプット・コムポイントをルートに追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddingprivatekey","秘密鍵を追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddingtrustedcert","信頼証明書を追加中に、エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroraddinguser","ユーザー ''{0}'' を追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.erroralreadycheckedoutcomponent","別のユーザーがすでにこのコンポーネントをチェックアウトしたため、チェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorchangingpasswordforuser","ユーザー ''{0}'' のパスワードを変更中に、エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorclearingnotificationconfiguration","通知設定をクリア中に、エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorclearingnotificationdatastore","通知のデータストアをクリア中に、エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingclearedconfig","クリア済みの設定をコミット中に、エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingdeletedcert","削除済みの証明書をオミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingdeletedkey","削除済みのキーをコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewcert","新規証明書をコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewgeneratedkey","新規生成されたキーをコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewkey","新規キーをコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewlydeletedfile","新規削除済みのファイルをコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewlyrenamedfile","新規名前変更したファイルをコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewlyuploadedfile","新規アップロードしたファイルをコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewvariableoverrides","新規上書き変数をコミット中にエラーが発生 - 変更は保存されません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommittingnewvariables","新規変数をコミット中にエラーが発生 - 変更は保存されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcommpointnotinput","コミュニケーションポイント ''{0}'' はルート ''{1}'' のインプット・コムポイントではないため、最初のフィルタを設定中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcompilingconditionalconnector","条件付きのコネクタ・コマンドをコンパイル処理中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorconfiguringfilter","''{0}'' フィルタを設定中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorconstructingresponseiconzip","アイコンを取得するレスポンス・アイコン Zip のconstruct に失敗しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcreatingfilter","フィルタ作成中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcreatingfilterroutedoesnotexist","ルートが存在しないため、フィルタ作成中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcreatingresponse","応答を作成中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcreatingroute","ルート ''{0}'' を作成中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errorcreatingxmldocbuilder","XMLドキュメント・ビルダを作成中に致命的なエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordecryptingchangedpasswordforuser","ユーザー ''{0}'' の変更済みパスワードを解読中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordecryptingpasswordfornewuser","新規ユーザー ''{0}'' のパスワードを解読中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordeletingcryptokey","暗号キーを削除中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordeletingfilter","フィルタを削除中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordeletingprivatekey","秘密鍵を削除中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordeletingthisfilter","フィルタを削除中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordeletingtrustedcert","信頼証明書を削除中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.errordeletinguser","ユーザー ''{0}'' を削除中にエラーが発生しました"
